B♭△7,G7,Cm7,F7,Dm7,G7,Cm7,F7
B♭△7,G7,Cm7,F7,Dm6,G7,Cm7,F7
B♭△7,G7,Cm7,F7,Dm9,G7,Cm7,F7
B♭△7,G7,Cm7,F7,D7,G7,Cm7,F7
B♭△7,G7,Cm7,F7,D7♭9,G7,Cm7,F7
B♭△7,G7,Cm7,F7,D7#9,G7,Cm7,F7
B♭△7,G7,Cm7,F7,D7alt,G7,Cm7,F7
B♭△7,G7,Cm7,F7,A♭7,G7,Cm7,F7
B♭△7,G7,Cm7,F7,A♭7#11,G7,Cm7,F7
B♭△7,G7,Cm7,F7,A♭7alt,G7,Cm7,F7
B♭△7,G7,Cm7,F7,D○7,G7,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,G7♭9,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,G7#9,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,G7alt,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,D♭7,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,D♭7#11,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,D♭7alt,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,D○7,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,D7,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,A♭7,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,E7,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,G7,Cm7♭5,F7
B♭△7,G7,Cm7,F7,Dm7,G7,Cm△7,F7
B♭△7,G7,Cm7,F7,Dm7,G7,Cm6,F7
B♭△7,G7,Cm7,F7,Dm7,G7,Cm9,F7
B♭△7,G7,Cm7,F7,Dm7,G7,Cm11,F7
B♭△7,G7,Cm7,F7,Dm7,G7,Cm7,F9
B♭△7,G7,Cm7,F7,Dm7,G7,Cm7,F13
B♭△7,G7,Cm7,F7,Dm7,G7,Cm7,F7♭9
B♭△7,G7,Cm7,F7,Dm7,G7,Cm7,F7#9
B♭△7,G7,Cm7,F7,Dm7,G7,Cm7,F7alt
B♭△7,G7,Cm7,F7,D7,D♭7,Cm7,F7
B♭△7,G7,Cm7,F7,D7alt,D♭7alt,Cm7,F7
B♭△7,G7,Cm7,F7,D7♭9,D♭7♭9,Cm7,F7
B♭△7,G7,Cm7,F7,Dm7,D♭7,Cm7,B7
B♭△7,G7,Cm7,F7,D7,D♭7,Cm7,B7alt
B♭△7,G7,Cm7,F7,Dm7,D♭7,E♭○7,B7
B♭△7,G7,Cm7,F7,Dm7,D♭7#11,E♭○7,B7alt
B♭△7,G7,Cm7,F7,Dm7,D♭7,Cm7♭5,B7
B♭△7,G7,Cm7,F7,Dm7,D♭7alt,Cm7,B7♭9
